clue_id,player_id,answer
1644,1,What's a $400 bill?
1644,52,What's a $200 bill?
1655,51,"Uh, what is Kansas City?"
1662,1,What is Australia?
1676,1,Who is Thomas Paine?
1680,51,What is an organ?
1688,1,What is West Point?
1690,1,What is... Cheyenne?
1690,52,What is Jefferson City?
1714,1,What's New York?
1728,1,What is Lake Michigan?
1732,54,Who is Madden?
1738,53,Who is Gina Lollogabrida?
1747,1,What's a quarry?
1749,1,Who is Nabokov?
1751,1,What is radius?
1757,55,Who is Tatum O'Neal?
1757,1,Who is Jodie Foster?
1767,55,Who is Dean Martin?
1770,1,What is Nebraska?
1774,56,What is Hindu?
1781,56,Who is Kate Hepburn?
1782,1,"What is ""Paradise""?"
1782,56,"What is ""Destination""?"
1783,56,What is New Guinea?
1813,1,What's a double bass?
1819,58,What is the Marines?
1830,58,Who is Daredevil?
1831,58,What is custom-made?
1840,57,Um... they feed on dead animals?
1855,57,Who is the baker?
1856,57,What is Britannia?
1859,58,What is Egypt?
1862,57,Who is Mus--Nusafa---Mustafa?
1865,58,What is subract--what is multiplication?
1870,58,What is a general?
1878,62,What is a coyote?
1891,61,What the Cedric the Entertainer?
1894,62,What is England?
1916,61,What is Peru?
1928,62,Who are Romulus and Romeus?
1931,61,I don't know.
1943,63,Who is Andrew and Teddy Roosevelt?
1947,64,What is Mac?
1951,65,What is 96?
1954,64,What is China?
1973,65,What is Brazil?
1975,64,"Um, who is... I don't know."
1981,63,Who is Florence Nightingale?
1989,63,What are tapeworms?
2002,66,What is a comforter?
2038,67,Who are the Aztecs?
2039,68,What is Shila?
2040,67,What is the Great Wall of China?
2050,69,What is Lincoln?
2055,70,What is iPod and...
2065,70,What is chestnut?
2067,70,What is... I don't know.
2074,69,What are Milk Duds?
2074,70,What are Raisinets?
2082,70,What is negative?
2082,69,What is positive?
2084,69,What is decompose?
2085,69,Who is Abigail Adams?
2088,71,What is nitrogen?
2088,70,What is hydrogen?
2095,70,What is fold a napkin?
2096,71,Who is John Adams?
2109,1,What are linebackers?
2122,73,What is the Imperial Garden?
2126,72,What is Haiti?
2126,73,What is the Bahamas?
2157,1,"What is ""Ukulele Girl""?"
2167,1,What's a map?
2176,75,Who is...  No.
